Combination,MSE_Test,R2_Test
"('binCount0_OPCN3',)",2.8569667798499445,0.8425907735729601
"('rejectCountRatio_OPCN3',)",2.854376482836668,0.8427334901953414
"('rejectCountGlitch_OPCN3',)",10.087318102682541,0.44422282034720295
"('pm1_OPCN3',)",3.298261591293727,0.818276919
"('pm2_5_OPCN3',)",4.448586529729966,0.7548978975613698
"('binCount3_OPCN3',)",6.608377483687426,0.6359007059578965
"('temperature_OPCN3',)",9.120766334690854,0.49747656035367593
"('humidity_OPCN3',)",13.004025146833222,0.2835221069989817
"('binCount1_OPCN3',)",3.9881037618374813,0.7802689438010973
"('pm10_OPCN3',)",8.981750393558452,0.5051358694884598
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3')",1.7647008907170647,0.9027709373304399
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3')",2.3180676721281452,0.8722822954579873
"('binCount0_OPCN3', 'pm1_OPCN3')",1.739583211813289,0.9041548366581366
"('binCount0_OPCN3', 'pm2_5_OPCN3')",2.2317035409023784,0.877040668
"('binCount0_OPCN3', 'binCount3_OPCN3')",1.8399846360638727,0.8986230570676551
"('binCount0_OPCN3', 'temperature_OPCN3')",2.013502224,0.889062824
"('binCount0_OPCN3', 'humidity_OPCN3')",1.593830503609288,0.912185319
"('binCount0_OPCN3', 'binCount1_OPCN3')",1.902324296986828,0.8951883521663535
"('binCount0_OPCN3', 'pm10_OPCN3')",2.1209414929088397,0.8831432825714106
"('rejectCountRatio_OPCN3', 'rejectCountGlitch_OPCN3')",1.9857683734700555,0.8905908652015827
"('rejectCountRatio_OPCN3', 'pm1_OPCN3')",2.4053317268565415,0.8674743405855105
"('rejectCountRatio_OPCN3', 'pm2_5_OPCN3')",2.0294543538310776,0.8881839151373273
"('rejectCountRatio_OPCN3', 'binCount3_OPCN3')",1.9017730908859691,0.8952187217620206
"('rejectCountRatio_OPCN3', 'temperature_OPCN3')",1.867611661298769,0.8971009012269303
"('rejectCountRatio_OPCN3', 'humidity_OPCN3')",1.2074679794308025,0.9334725899096361
"('rejectCountRatio_OPCN3', 'binCount1_OPCN3')",1.8862057394900882,0.8960764302793286
"('rejectCountRatio_OPCN3', 'pm10_OPCN3')",2.3532158327527073,0.87034575
"('rejectCountGlitch_OPCN3', 'pm1_OPCN3')",1.8178136457256715,0.899844604
"('rejectCountGlitch_OPCN3', 'pm2_5_OPCN3')",2.424251362,0.866431933
"('rejectCountGlitch_OPCN3', 'binCount3_OPCN3')",3.6704189225884423,0.7977723061595551
"('rejectCountGlitch_OPCN3', 'temperature_OPCN3')",2.2794783436156925,0.874408437
"('rejectCountGlitch_OPCN3', 'humidity_OPCN3')",5.606850284627214,0.6910814741633945
"('rejectCountGlitch_OPCN3', 'binCount1_OPCN3')",2.445833018026829,0.8652428561463579
"('rejectCountGlitch_OPCN3', 'pm10_OPCN3')",4.528382627050849,0.750501402
"('pm1_OPCN3', 'pm2_5_OPCN3')",2.6243907045917387,0.8554049303038107
"('pm1_OPCN3', 'binCount3_OPCN3')",2.373539475329314,0.8692259863360213
"('pm1_OPCN3', 'temperature_OPCN3')",1.7641941654235112,0.9027988561837608
"('pm1_OPCN3', 'humidity_OPCN3')",1.3364668106528963,0.9263651897200796
"('pm1_OPCN3', 'binCount1_OPCN3')",2.602748399595389,0.8565973482596655
"('pm1_OPCN3', 'pm10_OPCN3')",2.8808541844204787,0.8412746582084702
"('pm2_5_OPCN3', 'binCount3_OPCN3')",3.941776908306957,0.7828213970632321
"('pm2_5_OPCN3', 'temperature_OPCN3')",2.3267936039133827,0.8718015260693277
"('pm2_5_OPCN3', 'humidity_OPCN3')",2.5845396558381504,0.8576005885805718
"('pm2_5_OPCN3', 'binCount1_OPCN3')",3.0781626978190983,0.8304036250972007
"('pm2_5_OPCN3', 'pm10_OPCN3')",3.937080159397931,0.7830801720751455
"('binCount3_OPCN3', 'temperature_OPCN3')",2.887388450263167,0.8409146422156976
"('binCount3_OPCN3', 'humidity_OPCN3')",4.013717235732401,0.7788577278428495
"('binCount3_OPCN3', 'binCount1_OPCN3')",3.2843323258769965,0.8190443744771956
"('binCount3_OPCN3', 'pm10_OPCN3')",5.700796896887982,0.6859053329265736
"('temperature_OPCN3', 'humidity_OPCN3')",3.691601450080783,0.7966052203922807
"('temperature_OPCN3', 'binCount1_OPCN3')",2.2027227628122974,0.8786374106367008
"('temperature_OPCN3', 'pm10_OPCN3')",3.8881952390167434,0.7857735661864884
"('humidity_OPCN3', 'binCount1_OPCN3')",2.069367464639499,0.8859848374508236
"('humidity_OPCN3', 'pm10_OPCN3')",6.937669116744192,0.6177578484371363
"('binCount1_OPCN3', 'pm10_OPCN3')",3.2520447638433687,0.8208233101647836
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'rejectCountGlitch_OPCN3')",1.5266152536624114,0.9158886523198072
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'pm1_OPCN3')",1.7362875580392885,0.9043364160572376
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'pm2_5_OPCN3')",1.627414051093884,0.9103349788083156
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'binCount3_OPCN3')",1.5375284033128473,0.915287375
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'temperature_OPCN3')",1.1206233422387857,0.9382574362915217
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'humidity_OPCN3')",1.0478785990572008,0.9422654261049168
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'binCount1_OPCN3')",1.222873376575854,0.9326238045249032
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'pm10_OPCN3')",1.5368928174500682,0.915322393
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'pm1_OPCN3')",1.4470427577060772,0.9202728282653228
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'pm2_5_OPCN3')",1.4708763637757785,0.9189596770166424
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'binCount3_OPCN3')",1.668392843149967,0.9080771856820682
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'temperature_OPCN3')",1.2446885622080786,0.9314218614295372
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'humidity_OPCN3')",1.3011412455715643,0.9283115091214003
